latitude,longitude,swh,mwd
55.0,5.0,2.8700607,303.84515
55.0,5.5,2.9411056,300.6811
55.0,6.0,3.002629,297.20453
55.0,6.5,3.0314376,293.14203
55.0,7.0,3.002385,288.35297
55.0,7.5,2.9196212,283.9936
55.0,8.0,2.6720626,279.29828
55.0,8.5,2.1129806,273.29047
55.0,10.0,0.53973836,223.95454
55.0,10.5,0.84686726,223.33736
55.0,11.0,1.0929611,224.7358
55.0,11.5,1.2582443,226.82173
55.0,12.5,1.408879,225.04048
55.0,13.0,1.5402267,229.43892
55.0,13.5,1.5653732,232.1108
55.0,14.0,1.5726974,231.3608
55.0,14.5,1.4552658,228.72017
55.0,15.0,1.2868087,221.64204
54.5,5.0,2.7948654,302.48578
54.5,5.5,2.8224533,300.54828
54.5,6.0,2.8439376,298.1186
54.5,6.5,2.8451583,295.0639
54.5,7.0,2.8073165,291.21234
54.5,7.5,2.695256,286.6264
54.5,8.0,2.4025314,280.7436
54.5,8.5,1.7848556,272.45453
54.5,11.0,1.0993087,224.07954
54.5,11.5,1.1906173,228.02486
54.5,12.0,1.0170333,229.64204
54.5,12.5,0.9889571,232.60298
54.5,13.0,0.75189656,236.50923
54.5,13.5,0.8681075,231.7358
54.5,14.0,0.8722579,228.8608
54.5,14.5,0.92743367,225.2983
54.5,15.0,0.9247481,224.00923
54.0,5.0,2.573918,304.07953
54.0,5.5,2.545842,303.40765
54.0,6.0,2.5175216,301.40765
54.0,6.5,2.4882247,298.7436
54.0,7.0,2.4323165,296.08734
54.0,7.5,2.329045,292.65765
54.0,8.0,2.1486251,286.79047
54.0,8.5,1.8153732,278.08734
54.0,11.0,0.4203536,225.68892
54.0,14.0,0.3405196,230.96236
54.0,14.5,0.37396687,226.7358
54.0,15.0,0.38959187,224.78267
53.5,5.0,1.9984787,302.22797
53.5,5.5,1.8956954,303.63422
53.5,6.0,1.9079025,307.36078
53.5,7.0,1.55634,304.97015
53.5,7.5,1.101506,303.84515
53.5,8.5,0.7333419,287.44672
53.0,5.0,1.629338,298.28265
