gridx,gridy,lat,lon,TS_K,TS_C,RLA_Wm2,T_K,T_C,U_ms,V_ms,WS_ms,QW,QI,ACLC,PRECIP
54,43,47.31,15.33,275.37,2.22,15.33,205.37,-67.78,,,0.24,0.0,0.0,,
55,43,47.32,15.98,276.13,2.98,15.98,205.36,-67.79,,,0.26,0.0,0.0,,
43,44,47.34,8.17,282.03,8.88,8.17,206.61,-66.54,,,0.29,0.0,0.0,,
44,44,47.39,8.82,283.57,10.42,8.82,206.33,-66.82,,,0.41,0.0,0.0,,
45,44,47.45,9.46,282.1,8.95,9.46,206.19,-66.96,,,0.5,0.0,0.0,,
46,44,47.5,10.11,278.86,5.71,10.11,205.98,-67.17,,,0.55,0.0,0.0,,
47,44,47.54,10.76,273.57,0.42,10.76,205.44,-67.71,,,0.56,0.0,0.0,,
48,44,47.58,11.4,277.62,4.47,11.4,204.78,-68.37,,,0.54,0.0,0.0,,
49,44,47.62,12.05,278.1,4.95,12.05,204.45,-68.7,,,0.49,0.0,0.0,,
50,44,47.65,12.7,276.39,3.24,12.7,204.49,-68.66,,,0.52,0.0,0.0,,
51,44,47.68,13.35,277.47,4.32,13.35,204.7,-68.45,,,0.48,0.0,0.0,,
52,44,47.71,14.01,273.38,0.23,14.01,204.94,-68.21,,,0.46,0.0,0.0,,
53,44,47.73,14.66,276.86,3.71,14.66,205.13,-68.02,,,0.36,0.0,0.0,,
54,44,47.75,15.31,273.16,0.01,15.31,205.19,-67.96,,,0.28,0.0,0.0,,
55,44,47.76,15.96,276.29,3.14,15.96,205.13,-68.02,,,0.19,0.0,0.0,,
39,45,47.51,5.51,282.82,9.67,5.51,207.5,-65.65,,,0.29,0.0,0.0,,
40,45,47.58,6.15,279.81,6.66,6.15,207.27,-65.88,,,0.42,0.0,0.0,,
41,45,47.65,6.79,276.85,3.7,6.79,206.93,-66.22,,,0.33,0.0,0.0,,
42,45,47.71,7.44,276.83,3.68,7.44,206.56,-66.59,,,0.31,0.0,0.0,,
43,45,47.77,8.09,277.12,3.97,8.09,206.2,-66.95,,,0.24,0.0,0.0,,
44,45,47.83,8.74,279.18,6.03,8.74,205.91,-67.24,,,0.26,0.0,0.0,,
45,45,47.88,9.39,279.12,5.97,9.39,205.77,-67.38,,,0.34,0.0,0.0,,
46,45,47.93,10.04,273.23,0.08,10.04,205.67,-67.48,,,0.54,0.0,0.0,,
47,45,47.98,10.69,273.16,0.01,10.69,205.35,-67.8,,,0.49,0.0,0.0,,
48,45,48.02,11.35,274.27,1.12,11.35,204.87,-68.28,,,0.37,0.0,0.0,,
49,45,48.06,12.0,273.27,0.12,12.0,204.52,-68.63,,,0.45,0.0,0.0,,
50,45,48.09,12.66,273.81,0.66,12.66,204.42,-68.73,,,0.49,0.0,0.0,,
51,45,48.12,13.31,273.64,0.49,13.31,204.52,-68.63,,,0.42,0.0,0.0,,
52,45,48.15,13.97,272.99,-0.16,13.97,204.72,-68.43,,,0.38,0.0,0.0,,
53,45,48.17,14.63,273.21,0.06,14.63,204.92,-68.23,,,0.36,0.0,0.0,,
54,45,48.19,15.29,274.32,1.17,15.29,204.98,-68.17,,,0.31,0.0,0.0,,
55,45,48.2,15.95,274.09,0.94,15.95,204.86,-68.29,,,0.26,0.0,0.0,,
40,46,48.02,6.05,278.15,5.0,6.05,206.85,-66.3,,,0.41,0.0,0.0,,
41,46,48.08,6.69,275.41,2.26,6.69,206.49,-66.66,,,0.34,0.0,0.0,,
42,46,48.15,7.35,275.39,2.24,7.35,206.13,-67.02,,,0.21,0.0,0.0,,
43,46,48.21,8.0,278.65,5.5,8.0,205.79,-67.36,,,0.29,0.0,0.0,,
44,46,48.27,8.65,276.96,3.81,8.65,205.48,-67.67,,,0.36,0.0,0.0,,
45,46,48.32,9.31,274.55,1.4,9.31,205.31,-67.84,,,0.29,0.0,0.0,,
46,46,48.37,9.97,272.8,-0.35,9.97,205.28,-67.87,,,0.26,0.0,0.0,,
47,46,48.42,10.63,271.74,-1.41,10.63,205.13,-68.02,,,0.31,0.0,0.0,,
48,46,48.46,11.29,271.2,-1.95,11.29,204.8,-68.35,,,0.31,0.0,0.0,,
49,46,48.5,11.95,271.3,-1.85,11.95,204.45,-68.7,,,0.31,0.0,0.0,,
