lat,lon,value_rbf,value_linear
47.3,5.5,266.9113464355469,
47.3,6.0,265.87884521484375,
47.3,6.5,265.87884521484375,
47.3,7.0,265.87884521484375,
47.3,7.5,265.87884521484375,
47.3,8.0,265.87884521484375,
47.3,8.5,265.87884521484375,
47.3,9.0,265.87884521484375,
47.3,9.5,265.87884521484375,
47.3,10.0,265.87884521484375,
47.3,10.5,267.0245666503906,
47.3,11.0,267.0245666503906,
47.3,11.5,267.0245666503906,
47.3,12.0,267.0245666503906,
47.3,12.5,267.0245666503906,
47.3,13.0,267.0245666503906,
47.3,13.5,267.0245666503906,
47.3,14.0,267.0245666503906,
47.3,14.5,267.0245666503906,
47.3,15.0,267.0245666503906,
47.3,15.5,267.0245666503906,
47.3,16.0,267.0245666503906,
47.8,5.5,268.1584167480469,
47.8,6.0,268.1584167480469,
47.8,6.5,266.9113464355469,
47.8,7.0,266.9113464355469,
47.8,7.5,266.9113464355469,
47.8,8.0,266.9113464355469,
47.8,8.5,266.9113464355469,
47.8,9.0,266.9113464355469,
47.8,9.5,266.9113464355469,
47.8,10.0,266.9113464355469,
47.8,10.5,266.9113464355469,
47.8,11.0,266.9113464355469,
47.8,11.5,265.87884521484375,
47.8,12.0,265.87884521484375,
47.8,12.5,265.87884521484375,
47.8,13.0,265.87884521484375,
47.8,13.5,265.87884521484375,
47.8,14.0,265.87884521484375,
47.8,14.5,265.87884521484375,
47.8,15.0,265.87884521484375,
47.8,15.5,265.87884521484375,
47.8,16.0,265.87884521484375,
48.3,5.5,267.7737121582031,
48.3,6.0,267.7737121582031,
48.3,6.5,267.7737121582031,
48.3,7.0,268.1584167480469,
48.3,7.5,268.1584167480469,
48.3,8.0,268.1584167480469,
48.3,8.5,268.1584167480469,
48.3,9.0,268.1584167480469,
48.3,9.5,268.1584167480469,
48.3,10.0,268.1584167480469,
48.3,10.5,268.1584167480469,
48.3,11.0,268.1584167480469,
48.3,11.5,268.1584167480469,
48.3,12.0,268.1584167480469,
48.3,12.5,266.9113464355469,
48.3,13.0,266.9113464355469,
48.3,13.5,266.9113464355469,
48.3,14.0,266.9113464355469,
48.3,14.5,266.9113464355469,
48.3,15.0,266.9113464355469,
48.3,15.5,266.9113464355469,
48.3,16.0,266.9113464355469,
48.8,5.5,269.69439697265625,
48.8,6.0,269.69439697265625,
48.8,6.5,269.69439697265625,
48.8,7.0,269.69439697265625,
48.8,7.5,267.7737121582031,
48.8,8.0,267.7737121582031,
48.8,8.5,267.7737121582031,
48.8,9.0,267.7737121582031,
48.8,9.5,267.7737121582031,
48.8,10.0,267.7737121582031,
48.8,10.5,267.7737121582031,
48.8,11.0,267.7737121582031,
48.8,11.5,267.7737121582031,
48.8,12.0,267.7737121582031,
48.8,12.5,267.7737121582031,
48.8,13.0,267.7737121582031,
48.8,13.5,267.7737121582031,
48.8,14.0,268.1584167480469,
48.8,14.5,268.1584167480469,
48.8,15.0,268.1584167480469,
48.8,15.5,268.1584167480469,
48.8,16.0,268.1584167480469,
49.3,5.5,269.88726806640625,
49.3,6.0,269.88726806640625,
49.3,6.5,269.88726806640625,
49.3,7.0,269.88726806640625,
49.3,7.5,269.88726806640625,
49.3,8.0,269.69439697265625,
49.3,8.5,269.69439697265625,
49.3,9.0,269.69439697265625,
49.3,9.5,269.69439697265625,
49.3,10.0,269.69439697265625,
49.3,10.5,269.69439697265625,
49.3,11.0,269.69439697265625,
49.3,11.5,269.69439697265625,
49.3,12.0,269.69439697265625,
49.3,12.5,269.69439697265625,
49.3,13.0,269.69439697265625,
49.3,13.5,269.69439697265625,
49.3,14.0,269.69439697265625,
49.3,14.5,269.69439697265625,
49.3,15.0,269.69439697265625,
49.3,15.5,269.69439697265625,
49.3,16.0,267.7737121582031,
49.8,5.5,269.181640625,
49.8,6.0,269.181640625,
49.8,6.5,269.181640625,
49.8,7.0,269.181640625,
49.8,7.5,269.181640625,
49.8,8.0,269.181640625,
49.8,8.5,269.88726806640625,
49.8,9.0,269.88726806640625,
49.8,9.5,269.88726806640625,
49.8,10.0,269.88726806640625,
49.8,10.5,269.88726806640625,
49.8,11.0,269.88726806640625,
49.8,11.5,269.88726806640625,
49.8,12.0,269.88726806640625,
49.8,12.5,269.88726806640625,
49.8,13.0,269.88726806640625,
49.8,13.5,269.88726806640625,
49.8,14.0,269.88726806640625,
49.8,14.5,269.88726806640625,
49.8,15.0,269.88726806640625,
49.8,15.5,269.88726806640625,
49.8,16.0,269.88726806640625,
50.3,5.5,269.13287353515625,
50.3,6.0,269.13287353515625,
50.3,6.5,269.13287353515625,
50.3,7.0,269.13287353515625,
50.3,7.5,269.13287353515625,
50.3,8.0,269.13287353515625,
50.3,8.5,269.13287353515625,
50.3,9.0,269.13287353515625,
50.3,9.5,269.181640625,
50.3,10.0,269.181640625,
50.3,10.5,269.181640625,
50.3,11.0,269.181640625,
50.3,11.5,269.181640625,
50.3,12.0,269.181640625,
50.3,12.5,269.181640625,
50.3,13.0,269.181640625,
50.3,13.5,269.181640625,
50.3,14.0,269.181640625,
50.3,14.5,269.181640625,
50.3,15.0,269.181640625,
50.3,15.5,269.181640625,
50.3,16.0,269.181640625,
50.8,5.5,272.0646057128906,
50.8,6.0,272.0646057128906,
50.8,6.5,272.0646057128906,
50.8,7.0,272.0646057128906,
50.8,7.5,272.0646057128906,
50.8,8.0,272.0646057128906,
50.8,8.5,272.0646057128906,
50.8,9.0,272.0646057128906,
50.8,9.5,272.0646057128906,
50.8,10.0,269.13287353515625,
50.8,10.5,269.13287353515625,
50.8,11.0,269.13287353515625,
50.8,11.5,269.13287353515625,
50.8,12.0,269.13287353515625,
50.8,12.5,269.13287353515625,
50.8,13.0,269.13287353515625,
50.8,13.5,269.13287353515625,
50.8,14.0,269.13287353515625,
50.8,14.5,269.13287353515625,
50.8,15.0,269.13287353515625,
50.8,15.5,269.13287353515625,
50.8,16.0,269.13287353515625,
51.3,5.5,273.13555908203125,
51.3,6.0,273.13555908203125,
51.3,6.5,273.13555908203125,
51.3,7.0,273.13555908203125,
51.3,7.5,273.13555908203125,
51.3,8.0,273.13555908203125,
51.3,8.5,273.13555908203125,
51.3,9.0,273.13555908203125,
51.3,9.5,273.13555908203125,
51.3,10.0,273.13555908203125,
51.3,10.5,273.13555908203125,
51.3,11.0,272.0646057128906,
51.3,11.5,272.0646057128906,
51.3,12.0,272.0646057128906,
51.3,12.5,272.0646057128906,
51.3,13.0,272.0646057128906,
51.3,13.5,272.0646057128906,
51.3,14.0,272.0646057128906,
51.3,14.5,272.0646057128906,
51.3,15.0,272.0646057128906,
51.3,15.5,272.0646057128906,
51.3,16.0,272.0646057128906,
51.8,5.5,270.70684814453125,
51.8,6.0,271.92535400390625,
51.8,6.5,271.92535400390625,
51.8,7.0,271.92535400390625,
51.8,7.5,271.92535400390625,
51.8,8.0,271.92535400390625,
51.8,8.5,271.92535400390625,
51.8,9.0,271.92535400390625,
51.8,9.5,271.92535400390625,
51.8,10.0,271.92535400390625,
51.8,10.5,271.92535400390625,
51.8,11.0,271.92535400390625,
51.8,11.5,271.92535400390625,
51.8,12.0,273.13555908203125,
51.8,12.5,273.13555908203125,
51.8,13.0,273.13555908203125,
51.8,13.5,273.13555908203125,
51.8,14.0,273.13555908203125,
51.8,14.5,273.13555908203125,
51.8,15.0,273.13555908203125,
51.8,15.5,273.13555908203125,
51.8,16.0,273.13555908203125,
52.3,5.5,268.7556457519531,
52.3,6.0,268.7556457519531,
52.3,6.5,268.7556457519531,
52.3,7.0,270.70684814453125,
52.3,7.5,270.70684814453125,
52.3,8.0,270.70684814453125,
52.3,8.5,270.70684814453125,
52.3,9.0,270.70684814453125,
52.3,9.5,270.70684814453125,
52.3,10.0,270.70684814453125,
52.3,10.5,270.70684814453125,
52.3,11.0,270.70684814453125,
52.3,11.5,270.70684814453125,
52.3,12.0,270.70684814453125,
52.3,12.5,270.70684814453125,
52.3,13.0,270.70684814453125,
52.3,13.5,271.92535400390625,
52.3,14.0,271.92535400390625,
52.3,14.5,271.92535400390625,
52.3,15.0,271.92535400390625,
52.3,15.5,271.92535400390625,
52.3,16.0,271.92535400390625,
52.8,5.5,268.0552978515625,
52.8,6.0,268.0552978515625,
52.8,6.5,268.0552978515625,
52.8,7.0,268.0552978515625,
52.8,7.5,268.7556457519531,
52.8,8.0,268.7556457519531,
52.8,8.5,268.7556457519531,
52.8,9.0,268.7556457519531,
52.8,9.5,268.7556457519531,
52.8,10.0,268.7556457519531,
52.8,10.5,268.7556457519531,
52.8,11.0,268.7556457519531,
52.8,11.5,268.7556457519531,
52.8,12.0,268.7556457519531,
52.8,12.5,268.7556457519531,
52.8,13.0,268.7556457519531,
52.8,13.5,268.7556457519531,
52.8,14.0,268.7556457519531,
52.8,14.5,268.7556457519531,
52.8,15.0,270.70684814453125,
52.8,15.5,270.70684814453125,
52.8,16.0,270.70684814453125,
53.3,5.5,267.0347900390625,
53.3,6.0,267.0347900390625,
53.3,6.5,267.0347900390625,
53.3,7.0,267.0347900390625,
53.3,7.5,267.0347900390625,
53.3,8.0,268.0552978515625,
53.3,8.5,268.0552978515625,
53.3,9.0,268.0552978515625,
53.3,9.5,268.0552978515625,
53.3,10.0,268.0552978515625,
53.3,10.5,268.0552978515625,
53.3,11.0,268.0552978515625,
53.3,11.5,268.0552978515625,
53.3,12.0,268.0552978515625,
53.3,12.5,268.0552978515625,
53.3,13.0,268.0552978515625,
53.3,13.5,268.0552978515625,
53.3,14.0,268.0552978515625,
53.3,14.5,268.0552978515625,
53.3,15.0,268.0552978515625,
53.3,15.5,268.0552978515625,
53.3,16.0,268.0552978515625,
53.8,5.5,266.2156982421875,
53.8,6.0,266.2156982421875,
53.8,6.5,266.2156982421875,
53.8,7.0,266.2156982421875,
53.8,7.5,266.2156982421875,
53.8,8.0,266.2156982421875,
53.8,8.5,267.0347900390625,
53.8,9.0,267.0347900390625,
53.8,9.5,267.0347900390625,
53.8,10.0,267.0347900390625,
53.8,10.5,267.0347900390625,
53.8,11.0,267.0347900390625,
53.8,11.5,267.0347900390625,
53.8,12.0,267.0347900390625,
53.8,12.5,267.0347900390625,
53.8,13.0,267.0347900390625,
53.8,13.5,267.0347900390625,
53.8,14.0,267.0347900390625,
53.8,14.5,267.0347900390625,
53.8,15.0,267.0347900390625,
53.8,15.5,267.0347900390625,
53.8,16.0,267.0347900390625,
54.3,5.5,266.4307861328125,
54.3,6.0,266.4307861328125,
54.3,6.5,266.4307861328125,
54.3,7.0,266.4307861328125,
54.3,7.5,266.4307861328125,
54.3,8.0,266.4307861328125,
54.3,8.5,266.4307861328125,
54.3,9.0,266.4307861328125,
54.3,9.5,266.2156982421875,
54.3,10.0,266.2156982421875,
54.3,10.5,266.2156982421875,
54.3,11.0,266.2156982421875,
54.3,11.5,266.2156982421875,
54.3,12.0,266.2156982421875,
54.3,12.5,266.2156982421875,
54.3,13.0,266.2156982421875,
54.3,13.5,266.2156982421875,
54.3,14.0,266.2156982421875,
54.3,14.5,266.2156982421875,
54.3,15.0,266.2156982421875,
54.3,15.5,266.2156982421875,
54.3,16.0,266.2156982421875,
54.8,5.5,266.8486022949219,
54.8,6.0,266.8486022949219,
54.8,6.5,266.8486022949219,
54.8,7.0,266.8486022949219,
54.8,7.5,266.8486022949219,
54.8,8.0,266.8486022949219,
54.8,8.5,266.8486022949219,
54.8,9.0,266.8486022949219,
54.8,9.5,266.8486022949219,
54.8,10.0,266.8486022949219,
54.8,10.5,266.4307861328125,
54.8,11.0,266.4307861328125,
54.8,11.5,266.4307861328125,
54.8,12.0,266.4307861328125,
54.8,12.5,266.4307861328125,
54.8,13.0,266.4307861328125,
54.8,13.5,266.4307861328125,
54.8,14.0,266.4307861328125,
54.8,14.5,266.4307861328125,
54.8,15.0,266.4307861328125,
54.8,15.5,266.4307861328125,
54.8,16.0,266.4307861328125,
55.3,5.5,268.5398864746094,
55.3,6.0,268.5398864746094,
55.3,6.5,268.5398864746094,
55.3,7.0,268.5398864746094,
55.3,7.5,268.5398864746094,
55.3,8.0,268.5398864746094,
55.3,8.5,268.5398864746094,
55.3,9.0,268.5398864746094,
55.3,9.5,268.5398864746094,
55.3,10.0,268.5398864746094,
55.3,10.5,268.5398864746094,
55.3,11.0,268.5398864746094,
55.3,11.5,266.8486022949219,
55.3,12.0,266.8486022949219,
55.3,12.5,266.8486022949219,
55.3,13.0,266.8486022949219,
55.3,13.5,266.8486022949219,
55.3,14.0,266.8486022949219,
55.3,14.5,266.8486022949219,
55.3,15.0,266.8486022949219,
55.3,15.5,266.8486022949219,
55.3,16.0,266.8486022949219,
55.8,5.5,268.0862731933594,
55.8,6.0,268.81121826171875,
55.8,6.5,268.81121826171875,
55.8,7.0,268.81121826171875,
55.8,7.5,268.81121826171875,
55.8,8.0,268.81121826171875,
55.8,8.5,268.81121826171875,
55.8,9.0,268.81121826171875,
55.8,9.5,268.81121826171875,
55.8,10.0,268.81121826171875,
55.8,10.5,268.81121826171875,
55.8,11.0,268.81121826171875,
55.8,11.5,268.81121826171875,
55.8,12.0,268.81121826171875,
55.8,12.5,268.5398864746094,
55.8,13.0,268.5398864746094,
55.8,13.5,268.5398864746094,
55.8,14.0,268.5398864746094,
55.8,14.5,268.5398864746094,
55.8,15.0,268.5398864746094,
55.8,15.5,268.5398864746094,
55.8,16.0,268.5398864746094,
